timestamp_utc,symbol,bucket,quality_score,roic,gross_margin,net_margin,revenue_cagr,fcf_cagr,growth_score,profitability_score,balanced_score,arr_growth,gross_margin_avg,gross_margin_trend,fcf_margin,rule_of_40,sga_eff,rd_eff,pe,peg,ps,pb,fcf_yield
2025-11-22T12:41:59.830973-05:00,CRWD,pure_play,30,,,,,,92,50,73,0.3965293475059728,0.7424089646104658,0.013222359321557242,0.27010813370214265,66.66374812081155,,,,,28.365185,32.76157,0.008672561875385447
2025-11-22T12:42:01.114711-05:00,S,pure_play,15,,,,,,80,12,47,0.5888627106177393,0.6785159060533714,0.14182696066537703,0.008024726676007747,59.68874372937471,,,,,5.7991376,3.4581497,0.0012527491153645227
2025-11-22T12:42:02.184509-05:00,PANW,pure_play,23,,,,,,68,58,64,0.18788250033170906,0.7220394676095848,0.04654874283225385,0.37627284064414684,56.415534097585585,,,116.49681,,13.090611,14.606292,0.02773611493961548
2025-11-22T12:42:03.244189-05:00,FTNT,pure_play,45,,,,,,72,64,70,0.2123719790451155,0.7731345801356653,0.039911666995075534,0.3155243628060042,52.78963418511197,,,32.45062,,9.2184105,79.65152,0.031100269612143006
2025-11-22T12:42:04.344498-05:00,NET,pure_play,23,,,,,,80,32,47,0.3650371621293689,0.7684428949366594,-0.0026743839709999495,0.0999714906212529,46.500865275062175,,,,,32.42584,48.46074,0.002556697106722587
2025-11-22T12:42:05.539089-05:00,ZS,pure_play,18,,,,,,88,56,67,0.3481497314980284,0.7755410946536667,-0.009173220879692301,0.27185250166940067,62.000223316742904,,,,,16.285984,24.195848,0.016692421324747075
2025-11-22T12:42:06.411508-05:00,OKTA,pure_play,15,,,,,,76,50,67,0.26153426682965875,0.7269999484134426,0.06783377541998237,0.2796934865900383,54.1227753419697,,,93.66667,,5.019969,2.053343,0.052630917900003925
2025-11-22T12:42:07.457129-05:00,TENB,pure_play,30,,,,,,64,56,52,0.18481445415148867,0.7812810262618196,-0.025229969010207576,0.22974797254730722,41.456242669879586,,,,,3.2379692,9.083304,0.06552452310716042
2025-11-22T12:42:08.501413-05:00,QLYS,pure_play,42,,,,,,64,64,70,0.13900203842502723,0.7988109523841156,0.03403408720637113,0.38145336100636795,52.04553994313952,,,27.726746,,7.908069,9.704267,0.04487787121710993
2025-11-22T12:42:09.562515-05:00,CHKP,pure_play,29,,,,,,44,70,47,0.057846972606732106,0.8771795666402942,-0.005367684075941792,0.40085769980506825,45.87046724118004,,,20.535677,,7.5529327,6.5239224,0.050716247180330555
2025-11-22T12:42:10.482034-05:00,MSFT,cloud_leader,44,,,,,,40,44,46,0.12423114652863054,0.6897748664547917,0.004220679018760887,0.2541884965427156,37.84196430713461,,,33.55508,,11.94419,9.666667,0.020405794258908757
2025-11-22T12:42:11.564464-05:00,GOOGL,cloud_leader,39,,,,,,24,32,36,0.10754330242226517,0.5678618219874089,0.01260632505198267,0.20788645155392008,31.542975397618527,,,29.581442,,9.415679,9.354728,0.020047838732165344
2025-11-22T12:42:12.595343-05:00,AMZN,cloud_leader,42,,,,,,8,8,16,0.10735398559596487,0.45418584181530813,0.06821879022517185,0.05153622724971354,15.88902128456784,,,31.170904,,3.4125872,6.3807206,0.013935938786931685
2025-11-22T12:42:13.572744-05:00,SNOW,cloud_leader,18,,,,,,88,44,67,0.43808650910292957,0.655384228150536,0.04101893987313365,0.24378253229928556,68.18690414022151,,,,,19.264128,33.41376,0.01114969266643744
2025-11-22T12:42:14.670442-05:00,DDOG,cloud_leader,30,,,,,,96,56,80,0.3766840107944478,0.7951652673234739,0.03563518275715194,0.2887569269169515,66.54409377113993,,,492.34378,,17.20221,16.058506,0.01402947592524461
2025-11-22T12:42:15.651875-05:00,CSCO,cloud_leader,18,,,,,,8,32,30,0.03192384157728467,0.6373637618783446,0.023897974041091063,0.23454654569845024,26.647038727573488,,,29.38224,,5.2114234,6.3933463,0.04419341448857794
